Word,Frequency
publikacja,1
jest,43
przeznaczona,1
sprzedaży,2
smaki,4
bałtyckie,30
naturalnie,31
nieoczywiste,2
przepisy,21
ryby,26
zebrali,1
szefowie,3
kuchni,22
blogerzy,3
zespołu,1
wstęp,2
domowe,8
bałtyckich,5
polecają,2
śledziożercy,29
pasztety,10
paprykarze,11
pasty,20
smarowidła,8
pasztet,12
flądry,28
grzybami,3
lubczykiem,2
czosnkiem,3
suszonymi,3
pomidorami,2
oliwkami,2
paprykarz,3
kaszą,2
pęczak,3
orientalny,2
kuskusem,2
perłowym,2
śledziowe,9
kanapki,10
szproty,30
każdą,9
okazję,1
oleju,43
porowym,3
olejuczosnkowo,1
majerankowym,3
chili,15
mniej,9
oczywiste,8
pomysły,9
klopsiki,4
śledzia,17
marynacie,6
miodowej,2
pikantna,4
zupa,4
pomidorowa,4
klopsikami,5
soczewicy,5
śledź,4
opiekany,2
jalapeño,3
ekipy,12
pieczona,3
belona,5
olej,7
orzechów,4
laskowych,3
marynowane,3
borowiki,3
oraz,20
jabłko,5
kiszonym,4
ogórkiem,4
chrzanowy,3
zimno,3
łosoś,2
pieczony,2
miso,4
pieczone,1
kotlety,4
turbota,4
orzechowej,2
panierce,5
sałatka,3
pieczoną,2
flądrą,4
awokado,7
spaghetti,3
bajgle,3
gładzicą,2
zielonej,2
lasagne,3
szprotami,2
majonezem,7
cytrusowym,2
domowymi,2
frytkami,3
pappardelle,2
trocią,2
kurkami,5
thai,2
sandaczem,3
porady,4
kuchenne,2
obrabianie,2
filetowanie,4
rozpoznać,3
świeżą,2
rybę,29
ekipa,3
szychowski,7
pan_tasak,1
sledziozercy,2
wstępwspólnie,1
wsiedli,1
pokład,1
okrętu,1
lazurowo,1
kusową,1
banderą,1
wyruszyli,1
długą,1
podróż,4
skarbom,1
których,4
wspominają,2
legendy,1
krążące,1
skich,1
wybrzeżach,2
portach,1
wilki,1
morskie,2
przesiadujące,1
tawernach,1
świnoujścia,1
rozrzewnieniem,1
opowiadały,1
bogactwach,1
kryjących,1
binach,1
koledzy,1
odleglejszych,1
krain,1
bajali,1
wspa,1
niałościach,1
czekających,1
podróżników,1
gotowych,1
wyru,1
szyć,1
drugą,1
stronę,3
morza,5
załoga,2
statku,1
podążyła,1
tropem,1
tych,5
opowieści,1
zapis,1
wspomnień,1
program,2
finansowany,1
środ,1
unii,1
europejskiej,1
ramach,4
europejskiego,2
funduszu,2
morskiego,2
rybackiego,2
jego,5
celem,1
propagowanie,1
korzyści,1
wynikających,1
spożywania,1
nauczanie,1
odpowiedzialnym,1
korzystaniu,1
zasobów,3
bałtyku,5
tego,10
programu,2
mogliśmy,2
podzielić,2
naszymi,1
odbiorcami,1
wieloma,1
inicjatywami,1
dzięki,2
przybliżyć,2
szerokiej,1
publice,1
jakże,1
ciekawe,1
tematy,1
związane,2
bałtykiem,2
nasze,3
morze,2
choć,5
towa,1
rzyszy,1
pokoleń,1
wciąż,4
wiele,7
nieoczywistych,2
zalet,1
pomogło,1
odkryć,1
wszyst,1
kich,1
możecie,1
przeczytać,1
stronie,1
naturalniebaltyckie,2
jednak,5
wydawnictwie,1
chcielibyśmy,1
walory,2
które,11
bardziej,9
skupiają,1
kulinarnych,8
dobrodziejstwach,1
wydaliśmy,1
dwie,3
książki,3
kucharskie,2
pierwsza,2
nich,4
śledzie,18
powstała,1
współpracy,1
szczecińskim,1
klubem,1
śledziożerców,4
pasja,2
śledzi,7
2019,1
roku,10
pewnym,2
bałtyckim,2
porcie,1
tkała,1
niezwykła,1
podróżnicy,1
krywcy,1
firm,1
kosze,1
smakosze,2
życia,3
mieszanka,1
zwykła,1
która,5
czekała,1
jawi,1
niezwykłą,1
jeszcze,6
przed,5
wyruszeniem,1
postacią,1
zaowocowała,1
zebraniem,1
kilkudzie,1
sięciu,1
przepisów,6
przygotowanie,1
popularnej,1
również,6
śledziożercami,1
przygotowaliśmy,2
blikowaliśmy,1
serię,1
filmów,2
trakcie,1
odkrywa,2
niektóre,1
sami,3
mistrzowie,1
udzielają,1
sprawnie,2
poruszać,1
śledziowej,5
druga,3
książka,2
kucharska,1
była,2
owocem,1
współ,1
pracy,2
grupą,1
blogerek,1
blogerów,1
inne,1
stały,1
bazą,1
kompletnie,1
nowych,4
receptur,1
dania,4
takich,2
gatunków,2
szprot,1
flądra,2
gładzica,1
troć,2
turbot,4
dorsz,1
sandacz,1
jednym,2
członków,1
załogi,1
szychowskim,1
znanym,1
jako,6
tasak,2
ruszyliśmy,1
niemczech,1
danii,1
szwecji,1
gram,1
kuchnia,5
bałtycka,2
całości,1
dostępny,1
youtube,2
kulinarna,1
przez,31
kultury,2
krajów,1
czerpią,2
dobrodziejstw,2
odwiedziliśmy,1
niezwykle,3
interesujących,1
miejsc,1
spotkaliśmy,1
osoby,1
życie,1
nieodłącznie,1
rybami,1
kulturą,1
morską,1
wspomnienia,1
inspiracje,2
podróży,2
zaowocowały,1
powstaniem,1
propozycji,2
wita,2
niebanalne,1
potrawy,3
oddajemy,1
wasze,1
ręce,3
wydawnictwo,1
zbiera,1
sobie,5
fragmenty,2
rezultatów,1
inicjatyw,2
prze,3
pisy,1
odnośniki,1
liczymy,1
trochę,1
udzieli,1
klimat,1
skarbów,1
zapraszamy,2
lektury,1
oglądania,1
potem,5
oznaczone,1
logo,1
gwaran,1
wysokiej,3
jakości,6
stanowi,1
dzikości,1
naturalności,1
pasji,2
ludzi,4
rych,1
bałtyk,2
miłość,1
poławiane,3
poszano,1
waniem,1
dbaniem,1
zakłócać,1
natu,1
ralnej,1
równowagi,1
łowione,1
przygotowywane,1
zgodnie,1
najwyższymi,1
standardami,1
jakościowymi,1
najbardziej,2
przyjazny,1
środowiska,1
sposób,5
bliskość,1
bałtyckiego,1
sprawia,2
setek,1
naturalnym,1
źródłem,1
wszystkich,4
mieszkających,2
brzegami,1
tunki,1
morzu,2
pokonują,1
tysięcy,1
kilometrów,1
zanim,2
trafią,1
stoły,2
także,6
wyraz,1
troski,1
środowisko,1
ograniczanie,1
niepotrzebnych,1
zanie,1
czyszczeń,1
związanych,1
transportem,1
warto,3
zwrócić,2
uwagę,3
wybierając,2
produkty,2
trafiają,2
szych,1
domów,1
dieta,1
bogata,1
gwarancja,3
dobrego,1
samo,2
poczucia,1
witalności,1
dlatego,2
popularne,2
polecane,1
kuchnie,2
śródziemnomorskie,1
skandynawskie,1
pełne,1
wartości,2
odżywczych,2
krajach,2
europy,1
lecz,3
nadal,1
niedoceniane,1
polsce,3
przecież,2
naszym,1
żyją,1
