Word,Frequency
marja,1
śleżańska,1
kucharz,1
polski,2
1635,1
praktycznych,1
przepisów,3
smacznych,2
tanich,2
wystawnych,3
obiadów,2
pieczenia,12
ciast,15
smażenia,17
konfitur,18
przyrządzania,3
lodów,13
kremów,6
soków,12
galaret,12
napojów,2
chłodzących,1
likierów,3
wódek,5
deserów,1
konserw,5
wędlin,6
oraz,23
różne,23
ekreta,1
domowe,8
śpiżarniane,1
niezbędne,1
każdej,13
dobrej,23
skrzętnej,1
gospod,1
ilustracjami,1
kolorowymi,1
tablicami,1
wydanie,1
ósme,4
poprawione,1
powiększone,1
poznań,1
księgarnia,1
leitgebera,1
jedną,117
najważniejszych,1
czynnoś,1
gospodarstwa,2
kobiecego,2
jest,368
wątpienia,2
gotowanie,6
łatwo,16
zadanie,1
spełnić,2
jakby,11
zdawało,1
gospodyni,6
eobeznana,1
sztuką,1
kucharską,1
chociażby,2
żałowała,1
pracy,5
kosztów,1
sama,6
ędzie,8
mogła,3
należy,149
myśl,1
powodow,1
podjąć,2
niniejszej,1
przyjść,1
mierze,1
pomocą,6
naszym,1
gosposiom,2
zwłaszcza,4
dszym,1
książka,1
moja,1
zawiera,2
przepisy,2
gotowania,27
pożywnych,1
eleganckich,2
przytem,1
potraw,17
przystępnie,1
napisana,1
tylko,227
doświ,1
adczone,1
gosp,1
odynie,1
lecz,132
osoby,11
najmniej,11
kuchnią,2
obeznane,1
korzystać,2
niej,104
mogą,13
przy,144
urocz,1
ystościach,1
wykwintniejszym,1
wystąpić,1
obiadem,2
sutszą,1
kolacją,2
czyni,3
podręcznik,1
zadość,1
umiejętnem,1
zastosowaniu,1
objętych,1
przepis,7
ogłaszając,1
tedy,4
nagromadzone,1
ciągu,2
przeważnie,5
własnem,1
doświadcz,1
eniu,8
oparte,2
umiejętnego,1
mianowicie,5
ostępować,2
oszczędności,2
podawane,3
stół,119
potrawy,18
były,39
smaczne,22
pożywne,1
jestem,1
przekonan,1
nowa,1
praca,1
polu,1
kucharstwa,1
mile,1
