Word,Frequency
drówki,1
kulinarne,1
roberta,1
owicza,1
kraina,65
logos,130
astral,65
life,65
smak,94
owacji,2
bryndzowe,3
haluszki,3
medaliony,3
jelenia,4
êliwowicy,5
tort,4
kasztanowy,3
staropolskim,2
smakiem,17
urek,4
barszcz,9
kutia,3
pasztet,4
zajàca,9
nadzienie,4
indyka,7
cesarski,5
sandacz,3
czosnkiem,21
omlet,10
basa,4
ziemniaków,29
grzybów,18
zupa,65
ciel,28
cina,13
kurkami,3
kruchy,3
placek,4
grzybami,7
tatarski,2
piróg,3
cebulniki,3
pierogi,19
szasz,3
koszerny,2
czulent,3
pipki,3
maca,3
jajkiem,11
dworski,2
cebulowa,3
owina,17
piwie,20
polewka,6
piwna,6
twarogiem,3
êróde,2
ebroczka,8
oryginalna,4
kluski,17
uszki,4
odêwi,2
chrzan,8
åwik,2
miko,1
reja,3
majonez,13
zielony,4
polski,3
potrawka,3
prosi,3
cia31,1
galicyjski,2
ukraiƒski,1
wàtróbki,6
drobiowe,6
ydowsku,3
atka,22
czeremszy,3
czeremsza,3
ciep,13
huculski,5
sznycle,3
galicyjsku,3
huculska,3
bryndzà,2
banusz,3
lwowski,2
àbki,13
wareniki,3
makiem,6
szpecle,5
spinatspaetzle,3
opolski,2
wodzionka,3
âlàskie,1
niebo,3
rolada,6
wieprzowa,4
czeski,3
flaczków,7
tradycyjne,5
czeskie,3
knedliki,3
pieczona,3
golonka,4
czesku,3
morawski,2
bramborowa,3
twaro,4
omuƒskie,1
filety,17
wieprzowe,15
brzoskwiniami,3
szampanii,2
kapusty,30
boczku,26
boczkiem,6
grzankami,4
raki,10
szampanie,3
narodzenie,2
kapusta,16
grochem,3
fasolka,6
êliwkami,7
kwaênicy,3
knedelki,3
wesela,2
smalec,10
wiejski,4
rosó,7
kury,5
nadziewana,3
parmeƒski,2
funghi,3
porcini,3
pasta,8
fresca,3
wieprzowiny,8
zrazy,6
emilia,2
romania,2
kluseczki,13
pisarei,3
piero,4
tortellini,3
grill,2
warzywna,3
rusztu,17
pstràg,3
eberka,8
litewski,2
ziemniaczano,3
makowa,3
szczupak,4
gotowany,4
barszczu,6
sztuka,2
sosie,24
grzybowym,3
pieniƒski,2
paprykarz,3
szczupaka,7
gundel,2
kotlety,18
schabowe,2
debreczyƒsku,2
gorlicki,2
bystrzycy,3
bulion,27
tokajem,3
puree,9
duszone,5
zapiekanka,3
